This is all the log infomation to this server.
220.202.152.93,2019-12-11 10:55:47,null,null;
\n
220.202.152.93,2019-12-11 10:56:33,null,null;
220.202.152.93,2019-12-11 11:00:55,null,null;
220.202.152.93,2019-12-11 11:00:58,1,test;
220.202.152.93,2019-12-11 11:04:08,null,null;
220.202.152.93,2019-12-11 11:05:07,null,null;
220.202.152.93,2019-12-11 11:05:25,null,null;
220.202.152.93,2019-12-11 11:12:08,null,null;
220.202.152.93,2019-12-11 11:12:13,1,test;
220.202.152.93,2019-12-11 11:15:17,null,null;
220.202.152.93,2019-12-11 11:15:29,null,null;
117.136.89.117,2019-12-11 11:15:45,null,null;
220.202.152.93,2019-12-11 11:15:46,1,test;
117.136.89.117,2019-12-11 11:15:59,1,test;
61.151.178.236,2019-12-11 11:16:46,null,null;
220.202.152.93,2019-12-11 11:19:23,1,test;
71.6.232.4,2019-12-11 12:59:46,null,null;
82.233.167.211,2019-12-11 13:16:01,null,null;
41.222.15.154,2019-12-11 14:03:03,null,null;
119.39.248.53,2019-12-11 17:07:35,null,null;
37.235.28.159,2019-12-11 19:14:50,null,null;
37.235.28.159,2019-12-11 19:15:11,null,null;
173.249.33.187,2019-12-11 20:20:13,null,null;
43.229.73.196,2019-12-11 20:54:08,null,null;
43.250.200.3,2019-12-11 23:09:06,null,null;
43.250.200.3,2019-12-11 23:20:16,null,null;
43.250.200.3,2019-12-11 23:20:20,1,test;
::1,2019-12-11 15:49:33,1,test;
::1,2019-12-11 16:13:42,null,null;
::1,2019-12-11 16:23:27,null,null;
::1,2019-12-11 16:24:25,1,test;
::1,2019-12-11 16:32:52,1,test;
::1,2019-12-11 16:33:33,1,test;
::1,2019-12-11 16:52:48,null,null;
::1,2019-12-11 16:53:22,null,null;
::1,2019-12-11 16:56:15,null,null;
::1,2019-12-11 17:08:00,1,test;
::1,2019-12-11 17:08:15,null,null;
::1,2019-12-11 17:09:37,null,null;
::1,2019-12-11 17:20:24,null,null;
::1,2019-12-11 17:20:32,1,test;
::1,2019-12-11 17:23:49,null,null;
::1,2019-12-11 17:28:33,null,null;
::1,2019-12-11 17:29:36,null,null;
::1,2019-12-11 17:30:27,1,test;
::1,2019-12-11 17:34:31,null,null;
::1,2019-12-11 17:36:44,null,null;
::1,2019-12-11 18:05:49,1,test;
::1,2019-12-11 18:06:01,null,null;
::1,2019-12-11 18:09:54,1,test;
::1,2019-12-12 05:31:50,null,null;
::1,2019-12-12 05:33:10,null,null;
::1,2019-12-12 05:33:25,null,null;
